OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2018_AOD47,ymean_2018_nNDVI,ymean_2018_TMP,ymean_2018_SPFH,ymean_2018_WIND,ymean_2018_HGT,ymean_2018_PM25
689,689,-90.676506226077038,42.689626642517510,0.2190912,0.4679783,9.2136126,0.0072663,2.7333963,265.0177612,9.0640535
690,690,-90.053299997719137,42.689626642517510,0.2189450,0.4844304,8.5983658,0.0070579,3.0336587,290.4413147,9.3584843
691,691,-89.430093769361235,42.689626642517510,0.2187297,0.4782522,8.6892405,0.0068907,3.3988752,276.0496826,9.9352264
692,692,-88.806887541003334,42.689626642517510,0.2375481,0.4647391,8.6353035,0.0070885,3.0118330,286.1473389,10.0107584
693,693,-88.183681312645433,42.689626642517510,0.2257152,0.4647391,8.4028530,0.0067427,3.5108273,249.1994934,10.4163971
694,694,-85.690856399213772,42.689626642517510,0.2468723,0.4792522,9.4550400,0.0070123,2.7043459,223.8511505,10.0330248
695,695,-85.067650170855757,42.689626642517510,0.2465830,0.4900739,9.2796555,0.0067482,3.0329769,265.4589233,9.6782923
696,696,-84.444443942497799,42.689626642517510,0.2449468,0.4877087,9.2969141,0.0067791,2.9234917,274.3095703,10.2267265
697,697,-83.821237714139897,42.689626642517510,0.2189218,0.4877087,9.1716042,0.0069270,3.2502291,286.0768433,10.4330368
698,698,-83.198031485781996,42.689626642517510,0.2346565,0.4942000,9.3848829,0.0070013,3.2582574,288.4915466,10.4232130
699,699,-82.574825257424095,42.689626642517510,0.2346093,0.4750391,9.4248161,0.0070335,4.1818995,178.0438232,10.9474964
700,700,-78.835587887276631,42.689626642517510,0.2432407,0.3783783,8.6202164,0.0069733,2.1989391,388.7701721,11.3596191
701,701,-78.212381658918730,42.689626642517510,0.2316818,0.4921044,7.8969121,0.0069424,2.8361664,491.5720215,10.2687817
702,702,-77.589175430560829,42.689626642517510,0.2397708,0.5041652,9.2138481,0.0068950,2.6485829,276.0439758,10.0000362
703,703,-76.965969202202928,42.689626642517510,0.2391832,0.4703652,9.5627747,0.0070494,2.9334753,211.0258636,9.8244095
704,704,-76.342762973844970,42.689626642517510,0.2314942,0.4825043,8.1434374,0.0067374,2.7833576,394.7526855,9.1831055
705,705,-75.719556745487068,42.689626642517510,0.2138802,0.5015218,7.5565853,0.0066700,1.9477129,482.8309326,8.6827583
706,706,-75.096350517129167,42.689626642517510,0.2239748,0.5109739,7.7399840,0.0067050,2.1319330,503.9693909,8.3935843
707,707,-74.473144288771152,42.689626642517510,0.2326402,0.5109739,7.6304197,0.0065031,2.2161298,503.0304260,8.5518017
708,708,-73.849938060413251,42.689626642517510,0.2414375,0.5402696,9.2951679,0.0067705,1.6414125,132.1323395,8.8888741
709,709,-73.226731832055350,42.689626642517510,0.2254769,0.5748522,8.2762089,0.0066463,2.5502598,328.9856873,8.3237171
710,710,-72.603525603697449,42.689626642517510,0.1967049,0.6248043,8.8591690,0.0067466,1.3601564,233.4634247,8.7924948
711,711,-71.980319375339548,42.689626642517510,0.1982920,0.6445956,8.5997133,0.0067699,2.0881708,295.1304932,9.5726948
712,712,-71.357113146981590,42.689626642517510,0.1850772,0.6009218,9.3456583,0.0067647,2.4199691,105.2721939,9.3767147
713,713,-123.706436329046596,42.066420414159552,0.3906317,0.6220391,11.0831347,0.0057625,2.2887115,817.2740479,54.3433762
714,714,-123.083230100688809,42.066420414159552,0.2483816,0.6561869,10.9338379,0.0054811,2.1910789,889.8763428,43.4663925
715,715,-122.460023872330908,42.066420414159552,0.2820325,0.5418261,10.6705923,0.0048365,2.4212673,1147.8140869,22.9569950
716,716,-121.836817643972893,42.066420414159552,0.3300353,0.5418261,8.9301920,0.0048366,2.2499049,1310.1308594,17.3242893
717,717,-121.213611415614992,42.066420414159552,0.2851594,0.4395044,8.7753448,0.0045666,1.9493328,1434.4228516,27.5424728
718,718,-120.590405187257090,42.066420414159552,0.3126500,0.3781956,7.3537469,0.0041928,1.9725670,1684.0581055,39.9502335
719,719,-119.967198958899189,42.066420414159552,0.2255462,0.3534913,8.2357149,0.0038621,3.8185546,1719.9912109,23.9259338
720,720,-119.343992730541288,42.066420414159552,0.2162225,0.2027565,8.1362591,0.0035634,4.3743277,1782.2014160,11.4207697
721,721,-118.720786502183387,42.066420414159552,0.2166477,0.1833870,9.2404184,0.0037735,4.1124740,1630.3872070,8.9305515
722,722,-118.097580273825429,42.066420414159552,0.2325225,0.1831435,9.0032310,0.0037176,4.1705341,1688.1865234,8.6183863
723,723,-117.474374045467528,42.066420414159552,0.2130989,0.1831435,7.9478803,0.0037095,4.1103735,1843.0244141,8.7865820
724,724,-116.851167817109626,42.066420414159552,0.2127554,0.1827696,8.7813044,0.0037895,3.5254922,1614.9495850,8.9042873
725,725,-116.227961588751725,42.066420414159552,0.2705366,0.2105391,8.7607908,0.0039603,3.4721196,1627.5894775,9.1874456
726,726,-115.604755360393824,42.066420414159552,0.2468682,0.2140304,8.8247156,0.0039431,3.5959837,1630.1629639,9.3111944
727,727,-114.981549132035866,42.066420414159552,0.2167032,0.2205478,8.6244135,0.0041323,4.0994134,1649.8760986,9.2824478
728,728,-114.358342903677965,42.066420414159552,0.2094942,0.2565870,7.8334785,0.0040429,3.8218110,1803.1002197,8.9287529
729,729,-113.735136675320064,42.066420414159552,0.1974901,0.2965826,7.5088606,0.0040391,3.9005377,1947.7429199,8.5710773
730,730,-113.111930446962049,42.066420414159552,0.2007143,0.2865826,8.7667189,0.0040613,4.1378140,1671.6809082,8.2379055
731,731,-112.488724218604148,42.066420414159552,0.2225674,0.2865826,8.8733187,0.0041630,3.2246459,1618.9697266,8.2184734
732,732,-111.865517990246246,42.066420414159552,0.2072616,0.3024304,7.1565843,0.0043024,2.7178614,1843.5046387,10.4078321
733,733,-111.242311761888288,42.066420414159552,0.2086233,0.3014652,5.6380463,0.0044107,2.7640777,2015.1818848,9.6088600
734,734,-110.619105533530387,42.066420414159552,0.2036429,0.2807957,4.6712766,0.0039060,3.1429412,2224.6887207,10.7674246
735,735,-109.995899305172486,42.066420414159552,0.1854255,0.2009696,5.8067784,0.0037863,3.3118181,2007.1094971,11.0101423
736,736,-109.372693076814585,42.066420414159552,0.2107307,0.1489087,5.4151444,0.0038317,3.3074939,2064.3806152,8.2681961
737,737,-108.749486848456684,42.066420414159552,0.2030128,0.1427304,5.1255584,0.0039208,4.0533242,2202.2658691,7.1737432
738,738,-108.126280620098782,42.066420414159552,0.2108528,0.1427304,5.6516132,0.0040762,4.1336713,2101.4162598,6.6682525
739,739,-107.503074391740881,42.066420414159552,0.1914813,0.1534913,6.0978894,0.0039823,4.0833750,2138.9257812,6.3474584
740,740,-106.879868163382980,42.066420414159552,0.2164286,0.1673000,6.7808013,0.0041921,4.6927266,2049.4885254,6.5925584
741,741,-106.256661935025022,42.066420414159552,0.1925936,0.1785565,6.1616182,0.0043511,4.6881223,2088.5446777,6.7415056
742,742,-105.633455706667121,42.066420414159552,0.1964207,0.2098565,5.7283163,0.0045005,5.1693969,2158.9333496,6.9551744
743,743,-105.010249478309220,42.066420414159552,0.1903317,0.3012478,9.2747822,0.0050100,4.9435735,1599.8942871,7.2702651
744,744,-104.387043249951148,42.066420414159552,0.1780200,0.2873391,9.1839457,0.0057080,3.8429244,1296.7905273,6.9213886
745,745,-103.763837021593247,42.066420414159552,0.1884242,0.2794957,8.4709282,0.0057360,3.6098981,1336.3400879,6.8572669
746,746,-103.140630793235459,42.066420414159552,0.1932172,0.2794957,7.9259586,0.0058507,3.1044898,1300.2038574,6.9817495
747,747,-102.517424564877444,42.066420414159552,0.2049295,0.3098739,7.8757453,0.0062432,4.0271482,1201.7541504,7.1200814
748,748,-101.894218336519543,42.066420414159552,0.2007040,0.3088435,7.6573677,0.0063282,4.2941351,1165.3781738,7.2189908
749,749,-101.271012108161642,42.066420414159552,0.1948105,0.3121739,7.9987798,0.0063804,4.1947260,1068.5860596,7.4904404
750,750,-100.647805879803741,42.066420414159552,0.2061802,0.3155870,8.7162380,0.0066440,4.0290675,874.7192993,7.6769276
751,751,-100.024599651445840,42.066420414159552,0.2013662,0.3373087,8.3481264,0.0068144,4.6440067,814.3693848,7.7843513
752,752,-99.401393423087939,42.066420414159552,0.2203100,0.3737609,8.2987709,0.0068494,4.8385134,757.5427856,7.8134012
753,753,-98.778187194730037,42.066420414159552,0.2308102,0.4071870,8.4383049,0.0069616,4.1024017,689.0924683,7.9242945
754,754,-98.154980966372079,42.066420414159552,0.2369486,0.4071870,8.7254553,0.0071296,3.4038939,589.0971680,8.2175941
755,755,-97.531774738014178,42.066420414159552,0.2451591,0.4006565,8.6936407,0.0070200,3.4523292,515.4393921,8.5477848
756,756,-96.908568509656277,42.066420414159552,0.2407063,0.3963696,8.4617119,0.0070477,3.9883301,476.2787781,8.9168015
757,757,-96.285362281298376,42.066420414159552,0.2449030,0.4037261,8.9127541,0.0071739,4.1106367,347.2442017,9.0409718
758,758,-95.662156052940418,42.066420414159552,0.2489739,0.4212044,8.7320251,0.0070937,3.7257826,386.7564392,8.9036007
