OBJECTID,YEAR_PM25_sample_pnt,X,Y,ymean_2020_AOD47,ymean_2020_nNDVI,ymean_2020_TMP,ymean_2020_SPFH,ymean_2020_WIND,ymean_2020_HGT,ymean_2020_PM25
126,126,-105.010249478309220,47.675276469380719,0.2484310,0.2905609,6.7521696,0.0045752,4.2926950,738.8046875,6.7836738
127,127,-104.387043249951148,47.675276469380719,0.2258338,0.3036435,6.7137756,0.0046418,4.4624996,727.2460938,6.4778872
128,128,-103.763837021593247,47.675276469380719,0.2353272,0.3121304,6.9836965,0.0047404,4.6377244,638.7968750,6.2912784
129,129,-103.140630793235459,47.675276469380719,0.2108724,0.3495435,6.2425904,0.0047310,4.8367662,684.4257812,6.1449223
130,130,-102.517424564877444,47.675276469380719,0.2036906,0.3184304,6.2785773,0.0048826,4.5453691,644.8164062,6.0904040
131,131,-101.894218336519543,47.675276469380719,0.2586683,0.3184304,6.0337911,0.0050969,4.8133674,600.2500000,6.0936184
132,132,-101.271012108161642,47.675276469380719,0.2293425,0.3093652,5.8217673,0.0051554,4.7011371,577.9140625,6.0547132
133,133,-100.647805879803741,47.675276469380719,0.2295210,0.3196217,5.3146300,0.0051436,5.2812953,581.4218750,6.0378575
134,134,-100.024599651445840,47.675276469380719,0.2315892,0.3115174,5.5306396,0.0053305,5.1971588,531.0585938,6.0298996
135,135,-99.401393423087939,47.675276469380719,0.2456629,0.3092522,5.7875686,0.0053718,5.0366955,489.6601562,6.0356488
136,136,-98.778187194730037,47.675276469380719,0.2249306,0.3092522,5.5721965,0.0054291,5.2454181,463.8828125,6.1109815
137,137,-98.154980966372079,47.675276469380719,0.2159479,0.3056391,4.7523980,0.0055633,5.6200914,439.5039062,6.3850269
138,138,-97.531774738014178,47.675276469380719,0.2311879,0.2967565,5.1304989,0.0055546,4.9386625,328.6992188,6.7401896
139,139,-96.908568509656277,47.675276469380719,0.2509678,0.3186000,5.1695561,0.0054919,4.7901044,268.9648438,6.8351216
140,140,-96.285362281298376,47.675276469380719,0.2257867,0.3186000,5.0743780,0.0054256,4.4790063,286.4726562,6.5913134
141,141,-95.662156052940418,47.675276469380719,0.2306141,0.3779131,4.5607343,0.0052092,3.7423012,410.1640625,6.0909047
142,142,-95.038949824582517,47.675276469380719,0.2060544,0.4251478,5.0451803,0.0053063,2.9734957,420.9570312,5.7900362
